Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East Asia	Distance to cluster Europe	Distance to cluster South Asia
GTEX-N7MS-0009-SM-5JK3E	-	 Europe	 Europe	 Europe	0.07961	0.08388	0.00274	0.03246
GTEX-N7MT-0009-SM-5JK4X	 Europe	 Europe	 Europe	 Europe	0.07943	0.08288	0.00192	0.03149
GTEX-NFK9-0004-SM-5JK4Y	-	-	-	Africa	0.01709	0.08012	0.06084	0.05442
GTEX-NL3H-0009-SM-5JK37	-	-	-	Africa-Europe	0.02968	0.07280	0.04832	0.04164
GTEX-NL4W-0009-SM-5JK3O	-	 Europe	 Europe	 Europe	0.07962	0.08468	0.00347	0.03324
GTEX-NPJ7-0009-SM-5JK4M	 Europe	 Europe	 Europe	 Europe	0.07795	0.07938	0.00208	0.02800
GTEX-NPJ8-0004-SM-5JK3D	-	 Europe	 Europe	 Europe	0.08020	0.08478	0.00366	0.03337
GTEX-O5YT-0010-SM-5JK31	-	 Europe	 Europe	 Europe	0.07908	0.08388	0.00266	0.03243
GTEX-O5YV-0004-SM-5JK2N	-	 Europe	 Europe	 Europe	0.07908	0.08408	0.00286	0.03262
GTEX-O5YW-0003-SM-5JK2Y	-	 Europe	 Europe	 Europe	0.07497	0.07884	0.00317	0.02730
GTEX-OHPK-0003-SM-5JK4Z	-	-	 Africa	 Africa	0.00579	0.08395	0.07212	0.06408
GTEX-OHPM-0003-SM-5JK4I	 Europe	 Europe	 Europe	 Europe	0.07903	0.08318	0.00199	0.03174
GTEX-OHPN-0004-SM-5JK2V	 Europe	 Europe	 Europe	 Europe	0.07715	0.08241	0.00176	0.03089
GTEX-OIZF-0004-SM-5JK4C	 Europe	 Europe	 Europe	 Europe	0.07926	0.08368	0.00249	0.03224
GTEX-OIZG-0003-SM-5JK3W	 Europe	 Europe	 Europe	 Europe	0.07916	0.08328	0.00211	0.03185
GTEX-OIZH-0003-SM-5JK41	 Europe	 Europe	 Europe	 Europe	0.07641	0.08051	0.00143	0.02899
GTEX-OIZI-1026-SM-5JK2X	 Europe	 Europe	 Europe	 Europe	0.07934	0.08308	0.00201	0.03167
